crop_type,soil_moisture,temperature,rainfall,humidity,irrigate
Rice,17.61,27.02,10.8,56.65,1
Rice,28.28,22.18,248.23,36.88,1
Cotton,35.4,27.03,185.67,70.94,0
Rice,22.05,38.21,155.88,74.17,1
Maize,59.76,34.49,194.65,42.07,0
Wheat,24.64,24.21,296.27,75.6,0
Wheat,24.86,37.66,18.19,74.6,0
Wheat,15.81,27.99,72.75,50.23,0
Soybean,37.57,31.04,59.38,73.66,1
Wheat,18.34,24.52,276.25,78.11,0
Maize,38.52,23.12,142.64,60.74,0
Soybean,28.58,23.89,285.84,73.43,0
Cotton,44.26,38.61,25.21,70.66,0
Maize,30.11,28.57,54.75,49.29,1
Cotton,22.47,25.74,20.23,75.9,0
Maize,54.02,17.64,13.9,30.33,1
Rice,18.03,27.14,244.79,78.01,1
Wheat,18.02,22.65,1.19,34.3,1
Wheat,39.71,16.01,115.46,88.71,0
Wheat,26.64,33.45,34.83,32.8,0
Rice,11.0,37.34,0.99,63.02,0
Cotton,50.72,33.12,144.99,87.85,0
Soybean,24.86,31.12,261.29,41.79,1
Wheat,42.81,21.71,24.51,48.25,0
Maize,45.4,28.79,41.71,41.32,1
Rice,27.12,25.85,75.65,31.62,0
Soybean,25.23,31.4,130.01,32.91,0
Cotton,48.67,20.2,156.34,50.27,1
Rice,56.67,30.16,104.71,47.83,1
Wheat,20.1,30.4,231.47,36.49,0
Soybean,11.35,28.22,99.44,61.79,0
Cotton,16.55,39.84,153.11,82.32,1
Soybean,36.86,16.61,114.3,32.93,0
Maize,55.98,20.06,176.49,48.41,0
Cotton,56.26,24.86,30.41,56.16,1
Soybean,22.88,20.7,187.88,70.54,1
Soybean,55.16,26.15,92.43,50.13,1
Soybean,51.52,31.54,196.54,56.24,1
Soybean,10.37,31.97,238.82,49.73,1
Soybean,49.68,27.42,174.48,53.81,1
Cotton,15.44,23.82,165.2,81.82,0
Cotton,49.27,39.87,274.46,54.56,1
Rice,27.8,22.8,96.48,55.98,1
Wheat,19.83,23.43,265.46,61.93,0
Wheat,37.26,31.84,12.69,77.23,1
Maize,39.95,27.55,124.12,56.84,0
Soybean,56.26,17.62,211.98,48.16,0
Rice,43.76,28.97,27.84,49.13,1
Soybean,12.52,34.8,236.66,71.99,0
Cotton,58.06,34.44,62.64,88.49,0
Wheat,18.69,17.11,38.13,33.37,1
Soybean,47.24,18.44,101.94,45.17,0
Cotton,45.06,23.11,48.25,76.37,1
Soybean,37.68,37.63,95.13,80.45,1
Rice,26.33,16.78,141.1,31.59,0
Soybean,50.58,36.73,7.88,69.81,0
Maize,54.54,29.44,164.69,70.1,0
Wheat,47.92,19.09,190.96,32.4,0
Soybean,54.94,31.69,179.45,37.47,0
Soybean,43.09,23.75,244.82,46.99,1
Maize,22.21,19.01,81.2,66.49,0
Rice,32.98,18.69,85.28,59.25,1
Wheat,47.39,21.04,28.11,52.58,1
Maize,46.99,29.95,251.0,81.27,1
Cotton,27.25,18.92,254.23,47.1,0
Soybean,46.55,39.06,230.31,35.47,1
Rice,38.63,22.3,233.66,48.56,0
Wheat,11.89,19.24,185.82,44.74,1
Wheat,47.83,30.05,276.4,67.11,1
Soybean,28.51,37.53,136.69,77.72,1
